YEAR,SIEMENS_G120_055,SIEMENS_G120_075,SIEMENS_G120_22,VACON_20_055,VACON_20_075,VACON_20_22,Mitsubishi_FR_E_700_075,ABB_ACS150_075,ABB_ACS150_22,Danfoss_VLT_075,Danfoss_VLT_22
2004, 201, 222, 245, 179, 207, 236, 230, 210, 245, 315, 320
2005, 220,241,267, 179,207,236, 226, 220, 267, 320, 350
2006, 220, 241, 267, 160, 196, 213, 215, 230, 285, 305, 330
2007, 218, 238,256, 173, 201, 225, 203, 230, 285, 320, 360
2008, 220, 245, 267, 170,201,234, 205,235, 340, 334, 376
2009, 201, 215, 245, 160, 189, 203, 216, 260, 340, 320, 356
2010, 205,235,264, 180, 203, 215, 185, 280, 356, 320, 356
2011, 205, 235, 264, 205, 215, 234,175, 270, 342, 340, 370
2012,210,254,285,205,215,234,180, 270,342, 350, 411
2013, 220, 285, 305, 205,215, 234, 178, 290,350, 360, 389
2014,220, 285,305, 234,240,264,190,302,350,345,400
2015,250,314,321, 240,256, 270, 186,350,380, 380,412
2016, 260,321,333,215,245,260,250,350,400,415,435
2017,292,345,390,215,245,260,270,380,420,400,460
2018, 292,345,390,232,289,325,270,360,399, 410,450
2019,295,340, 380, 270,327,370,340,360,399, 420, 488
2020,311,360, 401, 250,315,350,330, 401, 433,425,501
